rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
6075,9(,1,11,21,51,62,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,1,1,B2,weapon,5,9(,3077.1218653,3085.1321484,8.01028309999992,0,0
0,,0,11,21,52,61,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,2,2,A5,glasses,3,3#,3077.1218653,3099.135047,22.0131817000001,3108.1783233,31.056458
5058,8*,0,11,21,52,62,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,3,3,B4,glasses,3,3#,3077.1218653,3116.1315632,39.0096979,3121.2125341,44.0906688
5067,4$,1,11,21,52,61,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,4,4,A2,tools,6,4$,3077.1218653,3129.1317388,52.0098735000001,0,0
4197,3#,1,12,21,52,61,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,5,5,B4,glasses,3,3#,3077.1218653,3142.1345681,65.0127027999997,0,0
4544,3#,1,11,22,52,62,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,6,6,A5,glasses,3,3#,3077.1218653,3154.1330943,77.0112289999997,0,0
2188,7&,1,12,21,52,61,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,7,7,B1,helmet,1,7&,3077.1218653,3166.1331025,89.0112371999999,0,0
1701,3#,1,11,22,52,61,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,8,8,A5,glasses,3,3#,3077.1218653,3176.1339641,99.0120987999999,0,0
3610,7&,0,12,21,52,61,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,9,9,B5,tools,6,4$,3077.1218653,3185.1336302,108.0117649,3188.7558765,111.6340112
5925,9(,1,12,21,52,62,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,10,10,A3,weapon,5,9(,3077.1218653,3196.1343641,119.0124988,0,0
1518,7&,1,11,21,52,61,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,11,11,B1,helmet,1,7&,3077.1218653,3209.1334921,132.0116268,0,0
3523,9(,1,12,22,52,62,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,12,12,A3,weapon,5,9(,3077.1218653,3218.1337787,141.0119134,0,0
2878,9(,1,11,21,51,62,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,13,13,B2,weapon,5,9(,3077.1218653,3229.1338876,152.0120223,0,0
3143,7&,1,12,22,51,61,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,14,14,A4,helmet,1,7&,3077.1218653,3239.1343666,162.0125013,0,0
1504,7&,1,11,22,52,62,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,15,15,B1,helmet,1,7&,3077.1218653,3250.1354923,173.013627,0,0
2864,7&,1,12,22,51,62,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,16,16,A4,helmet,1,7&,3077.1218653,3259.1338661,182.0120008,0,0
4049,3#,1,12,21,52,61,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,17,17,B4,glasses,3,3#,3077.1218653,3269.1344938,192.0126285,0,0
4204,8*,1,11,22,51,62,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,142464,25413,14235,1,18,18,A1,vest,2,8*,3077.1218653,3281.1349759,204.0131106,0,0
